epoch,cost_train,cost_test,accu_train,accu_test
  105.0000,    1.0959,    1.0957,    0.5070,    0.5225
  106.0000,    1.0958,    1.0956,    0.5090,    0.5251
  107.0000,    1.0957,    1.0955,    0.5102,    0.5265
  108.0000,    1.0955,    1.0954,    0.5131,    0.5270
  109.0000,    1.0954,    1.0953,    0.5128,    0.5275
  110.0000,    1.0953,    1.0951,    0.5156,    0.5274
  111.0000,    1.0952,    1.0950,    0.5173,    0.5273
  112.0000,    1.0951,    1.0949,    0.5196,    0.5272
  113.0000,    1.0949,    1.0947,    0.5207,    0.5265
  114.0000,    1.0948,    1.0946,    0.5216,    0.5263
  115.0000,    1.0946,    1.0944,    0.5226,    0.5258
  116.0000,    1.0945,    1.0943,    0.5236,    0.5258
  117.0000,    1.0943,    1.0941,    0.5236,    0.5255
  118.0000,    1.0942,    1.0939,    0.5231,    0.5253
  119.0000,    1.0940,    1.0938,    0.5250,    0.5244
  120.0000,    1.0938,    1.0936,    0.5256,    0.5240
  121.0000,    1.0937,    1.0934,    0.5254,    0.5235
  122.0000,    1.0935,    1.0932,    0.5272,    0.5225
  123.0000,    1.0933,    1.0931,    0.5264,    0.5223
  124.0000,    1.0931,    1.0929,    0.5275,    0.5219
  125.0000,    1.0929,    1.0927,    0.5276,    0.5213
  126.0000,    1.0927,    1.0925,    0.5290,    0.5211
  127.0000,    1.0925,    1.0923,    0.5294,    0.5210
  128.0000,    1.0923,    1.0920,    0.5313,    0.5205
  129.0000,    1.0921,    1.0918,    0.5315,    0.5198
  130.0000,    1.0919,    1.0916,    0.5325,    0.5197
  131.0000,    1.0917,    1.0914,    0.5331,    0.5194
  132.0000,    1.0914,    1.0911,    0.5340,    0.5188
  133.0000,    1.0912,    1.0909,    0.5346,    0.5184
  134.0000,    1.0909,    1.0906,    0.5362,    0.5178
  135.0000,    1.0907,    1.0904,    0.5396,    0.5172
  136.0000,    1.0904,    1.0901,    0.5396,    0.5170
  137.0000,    1.0902,    1.0899,    0.5420,    0.5166
  138.0000,    1.0899,    1.0896,    0.5442,    0.5162
  139.0000,    1.0896,    1.0893,    0.5457,    0.5158
  140.0000,    1.0893,    1.0890,    0.5473,    0.5156
  141.0000,    1.0890,    1.0887,    0.5487,    0.5152
  142.0000,    1.0887,    1.0884,    0.5504,    0.5147
  143.0000,    1.0884,    1.0881,    0.5558,    0.5145
  144.0000,    1.0881,    1.0878,    0.5554,    0.5141
  145.0000,    1.0877,    1.0874,    0.5594,    0.5135
  146.0000,    1.0874,    1.0871,    0.5619,    0.5132
  147.0000,    1.0870,    1.0868,    0.5638,    0.5126
  148.0000,    1.0867,    1.0864,    0.5669,    0.5126
  149.0000,    1.0864,    1.0860,    0.5711,    0.5131
  150.0000,    1.0859,    1.0857,    0.5740,    0.5146
  151.0000,    1.0856,    1.0853,    0.5761,    0.5213
  152.0000,    1.0852,    1.0849,    0.5793,    0.5390
  153.0000,    1.0848,    1.0845,    0.5830,    0.5684
  154.0000,    1.0844,    1.0841,    0.5855,    0.6055
  155.0000,    1.0840,    1.0837,    0.5881,    0.6455
  156.0000,    1.0835,    1.0832,    0.5904,    0.6779
  157.0000,    1.0831,    1.0828,    0.5934,    0.6938
  158.0000,    1.0826,    1.0823,    0.5967,    0.6939
  159.0000,    1.0821,    1.0819,    0.5997,    0.6934
  160.0000,    1.0817,    1.0814,    0.6022,    0.6935
  161.0000,    1.0812,    1.0809,    0.6029,    0.6966
  162.0000,    1.0807,    1.0804,    0.6065,    0.6955
  163.0000,    1.0802,    1.0799,    0.6104,    0.6962
  164.0000,    1.0796,    1.0794,    0.6126,    0.6963
  165.0000,    1.0791,    1.0788,    0.6147,    0.6944
  166.0000,    1.0785,    1.0783,    0.6166,    0.6896
  167.0000,    1.0780,    1.0777,    0.6171,    0.6854
  168.0000,    1.0774,    1.0771,    0.6204,    0.6833
  169.0000,    1.0768,    1.0765,    0.6232,    0.6809
  170.0000,    1.0762,    1.0759,    0.6226,    0.6786
  171.0000,    1.0755,    1.0753,    0.6260,    0.6769
  172.0000,    1.0748,    1.0747,    0.6254,    0.6741
  173.0000,    1.0743,    1.0740,    0.6280,    0.6706
  174.0000,    1.0736,    1.0733,    0.6287,    0.6676
  175.0000,    1.0729,    1.0727,    0.6291,    0.6646
  176.0000,    1.0721,    1.0720,    0.6286,    0.6610
  177.0000,    1.0715,    1.0712,    0.6310,    0.6583
  178.0000,    1.0707,    1.0705,    0.6315,    0.6550
  179.0000,    1.0700,    1.0698,    0.6333,    0.6528
  180.0000,    1.0692,    1.0690,    0.6317,    0.6511
  181.0000,    1.0684,    1.0682,    0.6327,    0.6490
  182.0000,    1.0676,    1.0674,    0.6339,    0.6469
  183.0000,    1.0667,    1.0666,    0.6338,    0.6447
  184.0000,    1.0660,    1.0657,    0.6354,    0.6426
  185.0000,    1.0651,    1.0649,    0.6338,    0.6407
  186.0000,    1.0642,    1.0640,    0.6333,    0.6392
  187.0000,    1.0633,    1.0631,    0.6322,    0.6374
  188.0000,    1.0624,    1.0622,    0.6334,    0.6360
  189.0000,    1.0614,    1.0613,    0.6336,    0.6343
  190.0000,    1.0605,    1.0603,    0.6316,    0.6325
  191.0000,    1.0595,    1.0593,    0.6325,    0.6310
  192.0000,    1.0585,    1.0583,    0.6312,    0.6301
  193.0000,    1.0575,    1.0573,    0.6320,    0.6291
  194.0000,    1.0564,    1.0563,    0.6307,    0.6286
  195.0000,    1.0555,    1.0552,    0.6321,    0.6278
  196.0000,    1.0543,    1.0542,    0.6314,    0.6267
  197.0000,    1.0531,    1.0531,    0.6298,    0.6256
  198.0000,    1.0521,    1.0519,    0.6285,    0.6245
  199.0000,    1.0509,    1.0508,    0.6289,    0.6235
  200.0000,    1.0498,    1.0496,    0.6287,    0.6225
  201.0000,    1.0486,    1.0485,    0.6283,    0.6216
  202.0000,    1.0474,    1.0472,    0.6280,    0.6213
  203.0000,    1.0462,    1.0460,    0.6267,    0.6206
  204.0000,    1.0449,    1.0448,    0.6261,    0.6200
  205.0000,    1.0436,    1.0435,    0.6252,    0.6193
  206.0000,    1.0423,    1.0422,    0.6249,    0.6184
  207.0000,    1.0411,    1.0409,    0.6245,    0.6177
  208.0000,    1.0398,    1.0396,    0.6241,    0.6168
  209.0000,    1.0383,    1.0382,    0.6238,    0.6164
  210.0000,    1.0370,    1.0368,    0.6232,    0.6158
  211.0000,    1.0355,    1.0354,    0.6223,    0.6156
  212.0000,    1.0341,    1.0340,    0.6230,    0.6152
  213.0000,    1.0327,    1.0326,    0.6212,    0.6147
  214.0000,    1.0312,    1.0311,    0.6213,    0.6140
  215.0000,    1.0297,    1.0296,    0.6205,    0.6137
  216.0000,    1.0281,    1.0281,    0.6191,    0.6131
  217.0000,    1.0267,    1.0266,    0.6185,    0.6124
  218.0000,    1.0251,    1.0251,    0.6193,    0.6122
  219.0000,    1.0237,    1.0235,    0.6172,    0.6118
  220.0000,    1.0221,    1.0219,    0.6174,    0.6116
  221.0000,    1.0205,    1.0203,    0.6158,    0.6112
  222.0000,    1.0189,    1.0187,    0.6159,    0.6109
  223.0000,    1.0172,    1.0171,    0.6163,    0.6106
  224.0000,    1.0156,    1.0154,    0.6156,    0.6102
  225.0000,    1.0139,    1.0138,    0.6137,    0.6097
  226.0000,    1.0122,    1.0121,    0.6144,    0.6092
  227.0000,    1.0106,    1.0104,    0.6136,    0.6089
  228.0000,    1.0089,    1.0087,    0.6131,    0.6086
